announcement_date,effective_date,scheduled,cancelled
2010-01-27,2010-01-28,True,
2010-03-16,2010-03-17,True,
2010-04-28,2010-04-29,True,
2010-06-24,2010-06-25,True,
2010-08-10,2010-08-11,True,
2010-09-21,2010-09-22,True,
2010-11-03,2010-11-04,True,
2010-12-14,2010-12-15,True,
2011-01-26,2011-01-27,True,
2011-03-15,2011-03-16,True,
2011-04-27,2011-04-28,True,
2011-06-22,2011-06-23,True,
2011-08-09,2011-08-10,True,
2011-09-21,2011-09-22,True,
2011-11-02,2011-11-03,True,
2011-12-13,2011-12-14,True,
2012-01-25,2012-01-26,True,
2012-03-13,2012-03-14,True,
2012-04-25,2012-04-26,True,
2012-06-20,2012-06-21,True,
2012-08-01,2012-08-02,True,
2012-09-13,2012-09-14,True,
2012-10-24,2012-10-25,True,
2012-12-12,2012-12-13,True,
2013-01-30,2013-01-31,True,
2013-03-20,2013-03-21,True,
2013-05-01,2013-05-02,True,
2013-06-19,2013-06-20,True,
2013-07-31,2013-08-01,True,
2013-09-19,2013-09-20,True,
2013-10-30,2013-10-31,True,
2013-12-18,2013-12-19,True,
2014-01-29,2014-01-30,True,
2014-03-19,2014-03-20,True,
2014-04-30,2014-05-01,True,
2014-06-18,2014-06-19,True,
2014-07-30,2014-07-31,True,
2014-09-17,2014-09-18,True,
2014-10-29,2014-10-30,True,
2014-12-17,2014-12-18,True,
2015-01-28,2015-01-29,True,
2015-03-18,2015-03-19,True,
2015-04-29,2015-04-30,True,
2015-06-17,2015-06-18,True,
2015-07-29,2015-07-30,True,
2015-09-17,2015-09-18,True,
2015-10-28,2015-10-29,True,
2015-12-16,2015-12-17,True,
2016-01-27,2016-01-28,True,
2016-03-16,2016-03-17,True,
2016-04-27,2016-04-28,True,
2016-06-15,2016-06-16,True,
2016-07-27,2016-07-28,True,
2016-09-21,2016-09-22,True,
2016-11-02,2016-11-03,True,
2016-12-14,2016-12-15,True,
2017-02-01,2017-02-02,True,
2017-03-15,2017-03-16,True,
2017-05-03,2017-05-04,True,
2017-06-14,2017-06-15,True,
2017-07-26,2017-07-27,True,
2017-09-20,2017-09-21,True,
2017-11-01,2017-11-02,True,
2017-12-13,2017-12-14,True,
2018-01-31,2018-02-01,True,
2018-03-21,2018-03-22,True,
2018-05-02,2018-05-03,True,
2018-06-13,2018-06-14,True,
2018-08-01,2018-08-02,True,
2018-09-26,2018-09-27,True,
2018-11-08,2018-11-09,True,
2018-12-19,2018-12-20,True,
2019-01-30,2019-01-31,True,
2019-03-20,2019-03-21,True,
2019-05-01,2019-05-02,True,
2019-06-19,2019-06-20,True,
2019-07-31,2019-08-01,True,
2019-09-18,2019-09-19,True,
2019-10-30,2019-10-31,True,
2019-12-11,2019-12-12,True,
2020-01-29,2020-01-30,True,
2020-03-03,2020-03-04,False,
2020-03-15,2020-03-16,False,
2020-03-18,2020-03-19,True,2020-03-15
2020-04-29,2020-04-30,True,
2020-06-10,2020-06-11,True,
2020-07-29,2020-07-30,True,
2020-09-16,2020-09-17,True,
2020-11-05,2020-11-06,True,
2020-12-16,2020-12-17,True,
2021-01-27,2021-01-28,True,
2021-03-17,2021-03-18,True,
2021-04-28,2021-04-29,True,
2021-06-16,2021-06-17,True,
2021-07-28,2021-07-29,True,
2021-09-22,2021-09-23,True,
2021-11-03,2021-11-04,True,
2021-12-15,2021-12-16,True,
2022-01-26,2022-01-27,True,
2022-03-16,2022-03-17,True,
2022-05-04,2022-05-05,True,
2022-06-15,2022-06-16,True,
2022-07-27,2022-07-28,True,
2022-09-21,2022-09-22,True,
2022-11-02,2022-11-03,True,
2022-12-14,2022-12-15,True,
2023-02-01,2023-02-02,True,
2023-03-22,2023-03-23,True,
2023-05-03,2023-05-04,True,
2023-06-14,2023-06-15,True,
2023-07-26,2023-07-27,True,
2023-09-20,2023-09-21,True,
2023-11-01,2023-11-02,True,
2023-12-13,2023-12-14,True,
2024-01-31,2024-02-01,True,
2024-03-20,2024-03-21,True,
2024-05-01,2024-05-02,True,
2024-06-12,2024-06-13,True,
2024-07-31,2024-08-01,True,
2024-09-18,2024-09-19,True,
2024-11-07,2024-11-08,True,
2024-12-18,2024-12-19,True,
2025-01-29,2025-01-30,True,
2025-03-19,2025-03-20,True,
2025-05-07,2025-05-08,True,
2025-06-18,2025-06-20,True,
2025-07-30,2025-07-31,True,
2025-09-17,2025-09-18,True,
2025-10-29,2025-10-30,True,
2025-12-10,2025-12-11,True,
2026-01-28,2026-01-29,True,
2026-03-18,2026-03-19,True,
2026-04-29,2026-04-30,True,
2026-06-17,2026-06-18,True,
2026-07-29,2026-07-30,True,
2026-09-16,2026-09-17,True,
2026-10-28,2026-10-29,True,
2026-12-09,2026-12-10,True,
2027-01-27,2027-01-28,True,
2027-03-17,2027-03-18,True,
2027-04-28,2027-04-29,True,
2027-06-09,2027-06-10,True,
2027-07-28,2027-07-29,True,
2027-09-15,2027-09-16,True,
2027-10-27,2027-10-28,True,
2027-12-08,2027-12-09,True,
